amount,hour,is_international,is_fraud
3524.494448937106,9,0,1
622.0645534949316,14,0,0
540.514315129593,11,0,0
809.0447255786117,11,0,0
623.6299429693794,15,0,0
555.9578477651268,20,0,0
641.0434197325384,18,0,0
2975.3339887326524,16,0,1
619.0020852799888,10,0,0
265.5673481990226,21,0,0
458.72866231599744,14,0,0
440.8140722195909,13,0,0
552.8051707704386,15,0,0
607.1594723945989,20,0,0
583.117475198614,14,0,0
557.8769828834751,20,0,0
769.6391783651472,10,0,0
404.0372700875379,15,1,0
482.12467440081195,12,0,0
2760.5296737986223,4,0,1
625.3711844471505,14,0,0
678.7084460437121,10,0,0
2551.6404249575394,16,0,1
509.28747255199386,13,0,0
1462.7963755610895,15,0,1
364.1781416959909,21,0,0
562.6207938113022,15,0,0
494.65838957148634,8,0,0
576.6832721821302,15,0,0
564.6231504511824,8,0,0
343.91209212313504,14,0,0
543.4038735435666,8,1,0
539.3053718111571,10,0,0
308.4475332544658,20,0,0
536.5628720602472,17,0,0
480.32937046949826,16,0,0
442.4298611438382,13,0,0
525.4559817714218,10,0,0
412.0122372393649,13,0,0
463.20832310868354,13,0,0
625.2666868871868,18,0,0
2186.2205271186867,1,0,1
551.2333326410765,14,0,0
799.5944796121992,13,0,0
609.4573510675563,15,0,0
220.72322701362327,19,0,0
565.2326407195471,8,0,0
244.40107060844366,17,0,0
308.6470514993117,14,0,0
467.34729598480146,18,0,0
647.2219623962174,11,0,0
775.5370292481971,12,0,0
451.16824827207023,12,0,0
504.5947238891626,10,0,0
338.5632199521848,15,0,0
4181.914931979735,3,0,1
656.7309218681642,17,0,0
430.13477527128833,17,0,0
379.96824550972246,11,0,0
557.5090796530243,11,0,0
160.93778639932214,9,0,0
558.1554711893023,9,0,0
506.98362099917915,22,0,0
458.49498648714297,14,0,0
2386.226345175488,4,0,1
2105.355346234765,13,0,1
549.6560232494294,8,0,0
634.3407864971518,8,0,0
535.6603403498417,19,0,0
294.04954746716913,22,0,0
440.71337824947926,19,0,0
312.2529178840791,10,0,0
779.347634209232,10,0,0
293.4026516719449,17,0,0
670.4073025333142,19,0,0
773.0969236470203,15,0,0
676.325986476317,17,0,0
469.56290228066786,14,0,0
530.345928774679,9,0,0
2791.3372332763333,12,1,1
471.30435126775774,8,0,0
563.7448846154224,15,0,0
549.4915307985897,18,0,0
405.74433378207823,8,0,0
264.1207624996339,10,0,0
471.3859309498177,9,0,0
2549.2228596599443,15,0,1
500.95085935434025,12,0,0
238.3121019538711,10,0,0
675.4307220940825,21,0,0
390.7084272110709,21,0,0
3030.0185858716786,13,0,1
637.385381353402,12,0,0
444.21281280180654,8,0,0
1393.6855593562636,23,0,1
3331.6930280213624,23,0,1
473.87408992925634,14,0,0
512.9758312882193,13,0,0
698.7720093312258,15,0,0
2677.1263051845326,7,0,1
715.4452634844936,15,0,0
697.2211807258857,14,0,0
558.9241202389878,14,0,0
272.7867836309691,21,0,0
420.58408589508895,21,0,0
495.8026315204673,20,0,0
433.9021367645386,12,0,0
565.2149111699928,8,0,0
535.2914167382395,8,0,0
461.99336465779777,9,0,0
703.8830900443418,20,0,0
504.2033280538815,21,0,0
646.0841192326102,13,0,0
3812.4121731863434,0,0,1
566.3818436306079,21,0,0
259.6610688411612,15,0,0
577.9490860019754,9,0,0
592.522129953467,17,0,0
414.3584507717308,18,0,0
703.7181643800891,8,0,0
3539.0355149342063,0,0,1
647.9204475441152,11,0,0
380.8100817312418,22,0,0
453.6990416680381,16,0,0
568.9078657574918,8,0,0
232.8892838654794,11,0,0
332.3923830515588,18,0,0
686.7421067969668,16,0,0
612.5182718205417,19,0,0
388.4617656781154,16,0,0
1275.1815659600152,19,1,1
2044.5076154204328,6,1,1
514.8552231510802,22,0,0
734.7077032504857,21,0,0
551.6907357125536,8,0,0
617.3838238572739,13,0,0
4260.066262086984,3,1,1
2071.270434890609,5,0,1
530.5449768064702,22,0,0
704.5775487399035,19,0,0
560.5931031103418,15,0,0
449.8315741466185,12,0,0
533.5951142560172,12,0,0
491.23831342119763,19,0,0
325.47893003115934,20,0,0
445.73442838337434,17,0,0
588.0888750204189,18,0,0
427.6651281945618,16,0,0
680.878043133235,11,0,0
346.47537610672026,10,0,0
856.1909825039647,17,0,0
-47.261923782217536,11,0,0
536.2466782515127,16,0,0
554.9314396675907,18,0,0
695.0066892048437,11,0,0
347.6631378188688,10,0,0
486.9358743421235,8,0,0
567.5031010132748,9,0,0
339.1800467859711,21,0,0
279.33271484226645,20,0,0
617.7266054912202,22,0,0
387.06621241570684,12,0,0
240.90193652114772,11,0,0
352.22629515337604,13,0,0
2531.158688019553,7,0,1
648.2829863697973,16,0,0
3058.620251668557,9,0,1
752.5379314307033,13,0,0
301.04109233906536,17,0,0
3673.7015673101064,8,0,1
567.5475917065719,9,0,0
474.96081048371525,8,0,0
3045.1292537356567,9,0,1
4182.623148572848,2,0,1
149.9575820227543,16,0,0
534.3155043393407,12,0,0
769.634174996696,8,0,0
846.4766633135117,22,0,0
216.20806200321346,22,0,0
580.4445453771341,21,0,0
554.5547225514445,17,0,0
537.3180964701625,17,0,0
3387.185835161222,19,1,1
722.7378180100776,11,0,0
313.36911817086957,16,0,0
344.73828289390383,11,0,0
3312.580020871117,21,0,1
519.2932388736899,9,0,0
729.766833590158,18,0,0
578.5926431289006,16,1,0
691.1670825411859,22,0,0
391.7662949685729,8,0,0
237.18521409095433,8,0,0
411.39394790547703,14,0,0
510.1368604233337,15,0,0
261.56487600365466,9,0,0
605.1084735289379,14,0,0
502.0977832797939,18,0,0
162.23340640714298,19,0,0
391.34862208876984,12,0,0
2507.0458080074445,19,1,1
718.2568364406067,12,0,0
316.15913543491274,19,0,0
485.57315946150015,11,0,0
457.2673900426138,8,0,0
475.60011191826385,14,0,0
497.9876319612787,19,0,0
778.9242211434967,11,0,0
669.8351858268871,18,0,0
476.8205776896797,22,0,0
2026.6252652908743,11,1,1
587.9333497038917,22,0,0
484.47675979010586,21,0,0
294.7761201131502,19,0,0
463.2409023213946,22,0,0
3136.1415545535456,4,0,1
505.5841754632365,19,0,0
660.2707333983558,19,0,0
663.3826245066189,12,0,0
510.1979939076633,9,0,0
500.9025020654107,21,0,0
596.4990192033566,18,0,0
554.518150675861,14,0,0
475.2593336905672,15,0,0
2994.306515897187,18,0,1
1919.920705498863,11,1,1
225.36412612287046,22,0,0
443.27561689409157,14,0,0
464.53303700532297,8,0,0
605.2930439331906,15,0,0
2458.180652792578,12,0,1
466.4211774679251,15,0,0
257.74236641228185,16,0,0
327.4871758771455,22,1,0
3550.208905279898,17,1,1
742.4314522476811,16,0,0
505.4089890196693,14,0,0
124.74502337605185,21,0,0
462.0677830523253,15,0,0
544.4627001212989,22,0,0
221.0246890181557,11,0,0
625.9883907699196,16,0,0
140.86095426492926,19,0,0
466.1852826157851,19,1,0
219.31728259085196,16,0,0
420.57609364042963,20,1,0
99.07483503455933,15,1,0
2070.4524748959298,16,0,1
452.1340104483653,19,0,0
322.9998832299111,20,0,0
500.44899367999335,14,0,0
342.06522339440767,15,0,0
669.514897460677,18,0,0
889.6510589893749,11,0,0
710.1779412550844,21,1,0
534.0179069163703,9,1,0
282.7809110877429,20,0,0
407.9034797910654,19,0,0
3362.4150050497374,13,0,1
482.6751681051598,20,0,0
593.8385590951005,15,0,0
3407.8565662208944,19,1,1
423.1635906392694,22,0,0
246.89784583799727,8,0,0
572.7741668818607,18,0,0
377.51373388166377,8,0,0
626.9875978765106,13,0,0
376.7919981163421,13,0,0
596.5908189915286,9,0,0
866.7695217588375,16,0,0
443.04702122861585,12,0,0
3190.71069986994,0,0,1
640.3320688197724,17,0,0
528.8631676652273,22,0,0
3388.0750947976903,20,0,1
2783.28509834325,9,1,1
344.85379224884014,21,0,0
480.337002396841,16,0,0
496.59720870115297,20,0,0
476.82414811251493,20,0,0
1624.6710928991627,6,0,1
506.0384753000694,15,0,0
741.6405492517841,16,0,0
69.94175693258848,14,0,0
187.33967675172886,10,0,0
645.2417531887221,13,0,0
236.49173262821262,13,0,0
2535.2318491748133,2,0,1
574.5741116080646,11,0,0
819.2704598652747,22,0,0
406.4598966112681,12,0,0
390.563420879653,14,0,0
254.6805127313213,21,0,0
493.6132068433334,12,0,0
537.3554183460413,10,0,0
509.9818723788807,11,0,0
532.803289509352,22,0,0
1929.2940709409245,9,0,1
3045.928057150526,19,0,1
758.1154746748975,8,0,0
