user_id,merchant_id,timestamp,amount,hour,is_international,country_risk,is_fraud,rule_score
74,22,2024-01-04 14:25:00,3413.407865364621,14,1,2,1,4.0
44,19,2024-01-03 21:27:00,296.1684131115477,19,0,1,0,0.0
81,34,2024-01-07 06:23:00,380.0995303512539,19,0,1,0,0.0
71,35,2024-01-05 11:46:00,452.19903641347935,9,0,0,0,0.0
63,8,2024-01-03 00:53:00,990.6539183321884,20,0,0,0,0.0
68,17,2024-01-04 06:01:00,501.32679600454185,15,0,0,0,0.0
47,37,2024-01-03 01:42:00,346.040231882721,14,0,0,0,0.0
91,35,2024-01-01 20:48:00,5768.6378229421725,7,1,2,1,4.0
33,21,2024-01-03 09:55:00,622.9171358926847,19,0,1,0,0.0
89,26,2024-01-03 18:37:00,239.38671064068342,10,1,0,0,2.0
55,30,2024-01-06 22:16:00,707.5580541789499,13,0,0,0,0.0
45,10,2024-01-03 09:00:00,562.8196742300821,12,0,0,0,0.0
73,1,2024-01-07 02:38:00,485.1182397160924,21,0,0,0,0.0
41,15,2024-01-05 02:34:00,490.9861628367303,18,0,0,0,0.0
89,28,2024-01-03 02:57:00,605.6022611482481,22,0,1,0,0.0
49,17,2024-01-06 10:01:00,653.1324231503711,17,0,0,0,0.0
54,9,2024-01-06 08:39:00,511.95091089013465,11,0,0,0,0.0
58,3,2024-01-04 20:01:00,529.8857061873858,22,0,0,0,0.0
35,26,2024-01-07 03:35:00,614.1418288821675,14,0,0,0,0.0
46,5,2024-01-02 18:53:00,2098.9556430775247,21,1,2,1,3.0
63,38,2024-01-06 19:51:00,720.2122733997946,14,0,0,0,0.0
53,21,2024-01-04 19:50:00,549.5460968266319,13,0,1,0,0.0
63,4,2024-01-06 12:51:00,4577.135038186512,12,1,2,1,4.0
56,10,2024-01-04 01:24:00,726.3079434983867,17,0,0,0,0.0
83,20,2024-01-05 14:11:00,4590.574016476541,17,1,2,1,4.0
14,10,2024-01-03 08:29:00,315.57389039606034,16,0,1,0,0.0
3,7,2024-01-03 19:35:00,403.5824645538913,13,0,1,0,0.0
95,30,2024-01-07 14:42:00,768.6347856849372,14,0,1,0,0.0
73,29,2024-01-07 19:09:00,708.0489094863257,8,0,1,0,0.0
45,14,2024-01-03 21:36:00,545.6653284220723,11,0,0,0,0.0
51,25,2024-01-06 08:02:00,517.0055807037835,7,0,1,0,0.0
13,33,2024-01-01 06:01:00,547.9331010085042,21,0,1,0,0.0
29,30,2024-01-04 11:07:00,747.216824273582,20,0,0,0,0.0
18,38,2024-01-06 12:45:00,292.589274455206,13,0,0,0,0.0
93,18,2024-01-03 05:07:00,758.4244825053588,21,0,0,0,0.0
97,34,2024-01-07 00:18:00,399.6635989994871,16,0,0,0,0.0
13,27,2024-01-01 19:59:00,222.08032774025816,15,0,1,0,0.0
24,17,2024-01-06 19:11:00,321.12771098262834,16,0,0,0,0.0
42,9,2024-01-06 15:34:00,538.46883662878,16,0,0,0,0.0
67,12,2024-01-03 09:24:00,391.5146471088741,15,0,0,0,0.0
86,30,2024-01-06 12:30:00,428.82305995714415,9,0,0,0,0.0
13,7,2024-01-05 03:29:00,2063.6385563544045,19,1,1,1,2.0
50,23,2024-01-03 16:42:00,603.5137122763093,15,0,0,0,0.0
93,23,2024-01-05 06:34:00,501.886775352775,18,0,0,0,0.0
91,31,2024-01-03 04:47:00,662.8414104461087,21,0,1,0,0.0
63,25,2024-01-04 11:54:00,309.22172232486724,9,0,0,0,0.0
25,25,2024-01-05 02:42:00,797.3390450218385,11,0,0,0,0.0
28,8,2024-01-04 08:52:00,490.4368602514028,7,0,1,0,0.0
80,8,2024-01-01 16:19:00,267.8250750890133,20,0,1,0,0.0
24,25,2024-01-05 06:04:00,540.8500101692492,14,0,0,0,0.0
94,3,2024-01-04 12:56:00,580.7746780461624,15,0,0,0,0.0
42,8,2024-01-02 08:24:00,351.941726819467,7,0,0,0,0.0
30,19,2024-01-02 18:44:00,396.1977576151679,20,0,0,0,0.0
